Date,DEQ,Bench
11.05.2013,0,-0.00111635
11.06.2013,0,0.003050435
11.07.2013,0,-0.000909062
11.08.2013,0.010698099,0.006951415
11.11.2013,0,-0.000700343
11.12.2013,0,-0.005045115
11.13.13,0,0.002286147
11.14.13,0,0.004651792
11.15.13,0.000269096,0.003123117
11.18.13,0,-0.001098769
11.19.13,0,-0.004529755
11.20.13,0,0.001330415
11.21.13,0,0.003711281
11.22.13,-0.001255487,0.000708554
11.25.13,0,0.00242995
11.26.13,0,-0.00490712
11.27.13,0,0.003453694
11.28.13,0,0.000678497
11.29.13,0.000808084,-0.000859286
12.02.2013,0,-0.000734966
12.03.2013,0,-0.011004007
12.04.2013,0,-0.001816526
12.05.2013,0,-0.010138347
12.06.2013,-0.013726887,0.007516047
12.09.2013,0,0.001216681
12.10.2013,0,-0.00734664
12.11.2013,0,-0.008795086
12.12.2013,0,-0.005219573
12.13.13,-0.018193396,0.000239022
12.16.13,0,0.008368585
12.17.13,0,-0.004947595
12.18.13,0,0.011639025
12.19.13,0,0.012059422
12.20.13,0.025850096,0.004990705
12.23.13,0,0.005098137
12.24.13,0,0.00363877
12.25.13,0,-0.001640899
12.26.13,0,0.003221287
12.27.13,0.017973246,0.002498686
12.30.13,0,-0.002337135
12.31.13,0,0.00537559
01.01.2014,0,0.000653975
01.02.2014,0,-0.005563417
01.03.2014,-0.001774438,0.005092762
01.06.2014,0,-0.003421432
01.07.2014,0,0.008048427
01.08.2014,0,0.001147949
01.09.2014,0,-0.001029201
01.10.2014,-0.003110821,0.000533639
1.13.14,0,-0.004843653
1.14.14,0,0.005210178
1.15.14,0,0.011349712
1.16.14,0,-0.001977873
1.17.14,0.017564136,0.002179778
1.20.14,0,-0.000563886
1.21.14,0,0.002437751
1.22.14,0,0.000184816
1.23.14,0,-0.013461652
1.24.14,-0.029527689,-0.022846436
1.27.14,0,-0.006024415
1.28.14,0,0.006824033
1.29.14,0,-0.007080012
1.30.14,0,0.010169988
1.31.14,-0.000722299,-0.001248025
02.03.2014,0,-0.019614669
02.04.2014,0,0.003219977
02.05.2014,0,-0.000612656
02.06.2014,0,0.011489655
02.07.2014,0.003704337,0.009391782
02.10.2014,0,4.69E-05
02.11.2014,0,0.010664165
02.12.2014,0,0.007413067
2.13.14,0,-0.001228414
2.14.14,0.02184037,0.004714318
2.17.14,0,0.001224466
2.18.14,0,-0.00114148
2.19.14,0,-0.002509948
2.20.14,0,0.004437274
2.21.14,0.001910369,0.000190737
2.24.14,0,0.005760776
2.25.14,0,-0.000294667
2.26.14,0,0.001827148
2.27.14,0,0.001480748
2.28.14,0.003138009,-0.002371696
03.03.2014,0,-0.013433051
03.04.2014,0,0.018477362
03.05.2014,0,0.00040148
03.06.2014,0,-0.001362796
03.07.2014,-0.003681288,-0.006972158
03.10.2014,0,-0.003012058
03.11.2014,0,-0.002106747
03.12.2014,0,-0.006144091
3.13.14,0,-0.011809275
3.14.14,-0.024280765,-0.004888822
3.17.14,0,0.009968564
3.18.14,0,0.007474099
3.19.14,0,-0.002822622
3.20.14,0,0.007583177
3.21.14,0.017311316,-0.001277052
3.24.14,0,-0.007257971
3.25.14,0,0.008889841
3.26.14,0,-0.000270757
3.27.14,0,0.001331247
3.28.14,0.01728261,0.005697877
3.31.14,0,0.003816544
04.01.2014,0,0.006068522
04.02.2014,0,0.003503156
04.03.2014,0,0.001772166
04.04.2014,0.008276743,-0.002360932
