Date, DEQ , Bench ,
04-Nov-13,0,0.00266433,
05-Nov-13,0,-0.00111635,
06-Nov-13,0,0.00305043,
07-Nov-13,0,-0.00090906,
08-Nov-13,0.0106981,0.00695141,
11-Nov-13,0,-0.00070034,
12-Nov-13,0,-0.00504511,
13-Nov-13,0,0.00228615,
14-Nov-13,0,0.00465179,
15-Nov-13,0.0002691,0.00312312,
18-Nov-13,0,-0.00109877,
19-Nov-13,0,-0.00452975,
20-Nov-13,0,0.00133042,
21-Nov-13,0,0.00371128,
22-Nov-13,-0.00125549,0.00070855,
25-Nov-13,0,0.00242995,
26-Nov-13,0,-0.00490712,
27-Nov-13,0,0.00345369,
28-Nov-13,0,0.0006785,
29-Nov-13,0.00080808,-0.00085929,
2-Dec-13,0,-0.00073497,
3-Dec-13,0,-0.01100401,
4-Dec-13,0,-0.00181653,
5-Dec-13,0,-0.01013835,
6-Dec-13,-0.01372689,0.00751605,
9-Dec-13,0,0.00121668,
10-Dec-13,0,-0.00734664,
11-Dec-13,0,-0.00879509,
12-Dec-13,0,-0.00521957,
13-Dec-13,-0.0181934,0.00023902,
16-Dec-13,0,0.00836858,
17-Dec-13,0,-0.00494759,
18-Dec-13,0,0.01163903,
19-Dec-13,0,0.01205942,
20-Dec-13,0.0258501,0.00499071,
23-Dec-13,0,0.00509814,
24-Dec-13,0,0.00363877,
25-Dec-13,0,-0.0016409,
26-Dec-13,0,0.00322129,
27-Dec-13,0.01797325,0.00249869,
30-Dec-13,0,-0.00233714,
31-Dec-13,0,0.00537559,
01-Jan-14,0,0.00065397,
02-Jan-14,0,-0.00556342,
03-Jan-14,-0.00177444,0.00509276,
06-Jan-14,0,-0.00342143,
07-Jan-14,0,0.00804843,
08-Jan-14,0,0.00114795,
09-Jan-14,0,-0.0010292,
10-Jan-14,-0.00311082,0.00053364,
13-Jan-14,0,-0.00484365,
14-Jan-14,0,0.00521018,
15-Jan-14,0,0.01134971,
16-Jan-14,0,-0.00197787,
17-Jan-14,0.01756414,0.00217978,
20-Jan-14,0,-0.00056389,
21-Jan-14,0,0.00243775,
22-Jan-14,0,0.00018482,
23-Jan-14,0,-0.01346165,
24-Jan-14,-0.02952769,-0.02284644,
27-Jan-14,0,-0.00602442,
28-Jan-14,0,0.00682403,
29-Jan-14,0,-0.00708001,
30-Jan-14,0,0.01016999,
31-Jan-14,-0.0007223,-0.00124803,
3-Feb-14,0,-0.01961467,
4-Feb-14,0,0.00321998,
5-Feb-14,0,-0.00061266,
6-Feb-14,0,0.01148965,
7-Feb-14,0.00370434,0.00939178,
10-Feb-14,0,0.00004692,
11-Feb-14,0,0.01066416,
12-Feb-14,0,0.00741307,
13-Feb-14,0,-0.00122841,
14-Feb-14,0.02184037,0.00471432,
17-Feb-14,0,0.00122447,
18-Feb-14,0,-0.00114148,
19-Feb-14,0,-0.00250995,
20-Feb-14,0,0.00443727,
21-Feb-14,0.00191037,0.00019074,
24-Feb-14,0,0.00576078,
25-Feb-14,0,-0.00029467,
26-Feb-14,0,0.00182715,
27-Feb-14,0,0.00148075,
28-Feb-14,0.00313801,-0.0023717,
03-Mar-14,0,-0.01343305,
04-Mar-14,0,0.01847736,
05-Mar-14,0,0.00040148,
06-Mar-14,0,-0.0013628,
07-Mar-14,-0.00368129,-0.00697216,
10-Mar-14,0,-0.00301206,
11-Mar-14,0,-0.00210675,
12-Mar-14,0,-0.00614409,
13-Mar-14,0,-0.01180927,
14-Mar-14,-0.02428076,-0.00488882,
17-Mar-14,0,0.00996856,
18-Mar-14,0,0.0074741,
19-Mar-14,0,-0.00282262,
20-Mar-14,0,0.00758318,
21-Mar-14,0.01731132,-0.00127705,
24-Mar-14,0,-0.00725797,
25-Mar-14,0,0.00888984,
26-Mar-14,0,-0.00027076,
27-Mar-14,0,0.00133125,
28-Mar-14,0.01728261,0.00569788,
31-Mar-14,0,0.00381654,
1-Apr-14,0,0.00606852,
2-Apr-14,0,0.00350316,
3-Apr-14,0,0.00177217,
4-Apr-14,0.00827674,-0.00236093,
7-Apr-14,0,-0.01340711,
8-Apr-14,0,-0.00141257,
9-Apr-14,0,0.00649199,
10-Apr-14,0,-0.01523501,
11-Apr-14,-0.02281178,-0.01181753,
14-Apr-14,0,0.0091062,
15-Apr-14,0,-0.00138699,
16-Apr-14,0,0.01214136,
17-Apr-14,0.02396328,0.00214961,
18-Apr-14,0,0.00061514,
21-Apr-14,0,0.00275247,
22-Apr-14,0,0.00920559,
23-Apr-14,0,-0.00502941,
24-Apr-14,0,0.00283019,
25-Apr-14,0,-0.00818747,
28-Apr-14,0,0.00218381,
29-Apr-14,0,0.00929983,
30-Apr-14,0,0.00021951,
1-May-14,0,0.00050476,
2-May-14,0.0074266,-0.00112099,
5-May-14,0,-0.00040093,
6-May-14,0,-0.00760691,
7-May-14,0,0.00380771,
8-May-14,0,0.00714971,
9-May-14,0.00711464,0.0032015,
12-May-14,0,0.00878913,
13-May-14,0,0.00369932,
14-May-14,0,-0.00254274,
15-May-14,0,-0.00878494,
16-May-14,0.00731978,0.00355477,
19-May-14,0,0.00068275,
20-May-14,0,-0.00229089,
21-May-14,0,0.00839614,
22-May-14,0,0.00271876,
23-May-14,0.00904098,0.00384649,
26-May-14,0,0.0023202,
27-May-14,0,0.00569881,
28-May-14,0,0.00003841,
29-May-14,0,0.0021737,
30-May-14,0.00535923,-0.00096825,
2-Jun-14,0,0.00329885,
3-Jun-14,0,-0.00301414,
4-Jun-14,0,0.00128125,
5-Jun-14,0,0.00544964,
6-Jun-14,0.00583046,0.00527361,
9-Jun-14,0,0.00408398,
10-Jun-14,0,0.00335199,
11-Jun-14,0,-0.00376124,
12-Jun-14,0,-0.00410837,
13-Jun-14,0.00248423,0.00127973,
16-Jun-14,0,-0.00346972,
17-Jun-14,0,0.00374872,
18-Jun-14,0,0.0025006,
19-Jun-14,0,0.00111342,
20-Jun-14,0.00528663,0.00289229,
23-Jun-14,0,-0.00303971,
24-Jun-14,0,-0.00384865,
25-Jun-14,0,-0.0044398,
26-Jun-14,0,0.0009791,
27-Jun-14,-0.00714869,-0.00056587,
30-Jun-14,0,-0.00223169,
1-Jul-14,0,0.00828773,
2-Jul-14,0,0.00238801,
3-Jul-14,0,0.00903964,
4-Jul-14,0.01473143,-0.0007466,
7-Jul-14,0,-0.00664041,
8-Jul-14,0,-0.01045075,
9-Jul-14,0,0.00113793,
10-Jul-14,0,-0.0056041,
11-Jul-14,-0.01614879,0.00123351,
14-Jul-14,0,0.00591037,
15-Jul-14,0,-0.00070332,
16-Jul-14,0,0.00987916,
17-Jul-14,0,-0.00972413,
18-Jul-14,0.01185443,0.00554814,
21-Jul-14,0,-0.00403005,
22-Jul-14,0,0.0107971,
23-Jul-14,0,0.00187332,
24-Jul-14,0,0.00226306,
25-Jul-14,0.00147469,-0.00424098,
28-Jul-14,0,-0.00109327,
29-Jul-14,0,0.00009675,
30-Jul-14,0,-0.00107646,
31-Jul-14,0,-0.01633489,
1-Aug-14,-0.02470547,-0.00966289,
4-Aug-14,0,0.00328472,
5-Aug-14,0,-0.00159945,
6-Aug-14,0,-0.003448,
7-Aug-14,0,-0.00588146,
8-Aug-14,-0.00645868,0.00040681,
11-Aug-14,0,0.00919953,
12-Aug-14,0,-0.00024586,
13-Aug-14,0,0.0051359,
14-Aug-14,0,0.00358656,
15-Aug-14,0.01029972,-0.00210495,
18-Aug-14,0,0.01068609,
19-Aug-14,0,0.00698433,
20-Aug-14,0,0.0024753,
21-Aug-14,0,0.00495252,
22-Aug-14,0.01654553,0.00012995,
25-Aug-14,0,0.00933321,
26-Aug-14,0,0.00402952,
27-Aug-14,0,0.0005182,
28-Aug-14,0,-0.00266662,
29-Aug-14,0.01175504,0.00317565,
01-Sep-14,0,0.00257724,
02-Sep-14,0,-0.00010478,
03-Sep-14,0,0.00268494,
04-Sep-14,0,0.01166069,
05-Sep-14,0.01210593,0.00066569,
08-Sep-14,0,-0.00316061,
09-Sep-14,0,-0.00362553,
10-Sep-14,0,0.00207698,
11-Sep-14,0,-0.00168643,
12-Sep-14,-0.00794732,-0.00289572,
15-Sep-14,0,-0.00085527,
16-Sep-14,0,0.0023312,
17-Sep-14,0,0.00223689,
18-Sep-14,0,0.00904959,
19-Sep-14,0.0122997,0.00363691,
22-Sep-14,0,-0.00539177,
23-Sep-14,0,-0.01127073,
24-Sep-14,0,0.01025955,
25-Sep-14,0,-0.01038189,
26-Sep-14,-0.01350915,0.00746207,
29-Sep-14,0,-0.00282621,
30-Sep-14,0,0.00423354,
01-Oct-14,0,-0.0098151,
02-Oct-14,0,-0.01414801,
03-Oct-14,-0.01458555,0.0166274,
06-Oct-14,0,-0.00245002,
07-Oct-14,0,-0.01762963,
08-Oct-14,0,0.00203279,
09-Oct-14,0,-0.01310207,
10-Oct-14,-0.03165857,-0.00981358,
13-Oct-14,0,-0.01028034,
14-Oct-14,0,0.00174957,
15-Oct-14,0,-0.02371033,
16-Oct-14,0,-0.00342918,
17-Oct-14,-0.01112436,0.02046817,
20-Oct-14,0,0.0017359,
