"","DEQ","Bench","Qu","Qe","EUR","SPX","SPXT","BE500","BE500T","Q","Hdg_Cst","US1m","EU1m","Q_hdg","SPX_hdg","SPXT_hdg"
"1851",0,0.00619176137701061,0,0,-0.0028420983771891,0.00915144826229231,0.00916068747441834,0.00525055423793042,0.00598431075460937,-0.00100050033358379,5.80051669827539e-05,1.1,2.05563,-0.000942495166601033,0.00920945342927506,0.00921869264140109
"1852",0,0.0133122405442174,0,0,0.0128089582925812,0.0018417199355234,0.00185255205391055,0.00306905611741826,0.0030849040035692,0.00319489089651981,1.93321419001413e-05,1.1,2.05575,0.00321422303841995,0.00186105207742354,0.00187188419581069
"1853",0,0.0075793749205646,0,0,0.00617921636595811,0.00176700565368559,0.00191597157284473,0.00475544374431891,0.00499641795816252,0.00369317183761719,1.93354295077441e-05,1.1,2.06,0.00371250726712494,0.00178634108319334,0.00193530700235248
"1854",0,-0.0143797216110322,0,0,-0.00766792725210405,-0.00674565970477659,-0.00664555549022428,-0.0141055688756992,-0.0138406044817661,-0.00561573878563593,1.94518656057158e-05,1.1,2.05525,-0.00559628692003021,-0.00672620783917087,-0.00662610362461856
"1855",0,-0.0267809897938349,0,0,-0.0165237841161881,-0.0138205020794215,-0.0138219541712585,0.000286360644549788,0.000706407950041843,-0.00360649559411108,1.93217311422536e-05,1.1,2.0545,-0.00358717386296883,-0.0138011803482793,-0.0138026324401163
"1856",0,-0.0150849197380598,0,0,-0.00294948176575835,-0.0105956650945931,-0.0105559809127929,-0.026694557882359,-0.0265818257665487,-0.0140989243795016,5.79024332107159e-05,1.1,2.06263,-0.0140410219462908,-0.0105377626613824,-0.0104980784795821
"1857",0,0.00967066398970751,0,0,0.00193921059042168,0.00763324012198652,0.00784190425257858,0.0104143230044809,0.0105769811530774,0.00239712459972097,1.95239189962129e-05,1.1,2.06163,0.00241664851871718,0.00765276404098273,0.00786142817157479
"1858",0,0.00260674483559686,0,0,0.00260778276071799,0.00166915254032673,0.00199435310225304,-0.0101203004802377,-0.00959702055712075,-0.00571630699610903,1.94965222703319e-05,1.1,2.05863,-0.0056968104738387,0.00168864906259707,0.00201384962452338
"1859",0,-0.00547379251947966,0,0,-0.00682826678356496,-0.000765822476026301,-0.000682975315260848,0.0107021694597647,0.0107196668881562,-0.000400080021339733,1.94143320884702e-05,1.1,2.06225,-0.000380665689251262,-0.000746408143937831,-0.000663560983172377
"1860",0,0.00352673564200856,0,0,0.00556728557322575,-0.000675139387181112,-0.000577788700734772,-0.00682915247124161,-0.0063413750738528,-0.00380723834295438,1.9513508240393e-05,1.1,2.06225,-0.00378772483471398,-0.000655625878940719,-0.000558275192494379
