Date,NAV,NAVex,DEQia,DEQexa
28.02.2013 00:00,4490000,1807404.359,0.402539946,0
01.03.2013 00:00,4518126.359,1801772.487,0.398787538,-0.311599988
04.03.2013 00:00,4512494.487,1821096.804,0.403567652,0.757575103
05.03.2013 00:00,4531818.804,1913823.132,0.422307955,1.021089076
06.03.2013 00:00,4520784.132,1906706.262,0.421764501,0.66559999
07.03.2013 00:00,4513667.262,1923917.595,0.426242672,1.465945276
08.03.2013 00:00,4540859.595,2272126.406,0.500373631,1.839875438
11.03.2013 00:00,4537532.406,2277964.093,0.502027069,2.101528709
12.03.2013 00:00,4543370.093,2296358.156,0.505430574,2.929744868
13.03.2013 00:00,4561764.156,2314653.469,0.507403143,3.749796346
14.03.2013 00:00,4587871.469,2303055.996,0.501987907,3.072632841
15.03.2013 00:00,4576273.996,2305028.309,0.503691062,3.191797355
18.03.2013 00:00,4578246.309,2305603.028,0.503599604,3.217526458
19.03.2013 00:00,4578821.028,2309625.35,0.504414856,3.397598255
20.03.2013 00:00,4582843.35,2349257.762,0.512620132,3.15112628
21.03.2013 00:00,4576695.762,2346905.332,0.512794701,2.967616054
22.03.2013 00:00,4574343.332,2351967.829,0.514165129,3.189726926
25.03.2013 00:00,4579405.829,2370414.819,0.517624973,4.017491949
26.03.2013 00:00,4597852.819,2467839.444,0.536737373,4.406143037
27.03.2013 00:00,4901304.444,2468808.461,0.503704369,4.374718374
28.03.2013 00:00,4900432.461,2472235.234,0.504493278,4.51959329
29.03.2013 00:00,4903859.234,2460371.095,0.501721395,4.037918327
01.04.2013 00:00,4891995.095,2477861.688,0.506513527,4.777516056
02.04.2013 00:00,4909485.688,2464352.056,0.501957275,4.206255055
03.04.2013 00:00,4895976.056,2464095.578,0.503289957,4.226727478
04.04.2013 00:00,4895719.578,2588743.995,0.528777017,2.002925292
05.04.2013 00:00,4856415.995,2774810.177,0.571369953,2.5424589
08.04.2013 00:00,4897913.177,2961205.198,0.604585073,2.676103176
09.04.2013 00:00,4903079.198,2949865.489,0.601635293,3.754643577
10.04.2013 00:00,4947239.489,2947025.121,0.595690815,3.693843191
11.04.2013 00:00,4892236.121,2973155.855,0.607729427,2.870389625
12.04.2013 00:00,4918366.855,2967823.299,0.603416416,1.224098703
15.04.2013 00:00,4869034.299,2965880.3,0.609131117,1.157828473
16.04.2013 00:00,4867091.3,2969607.347,0.610140054,-0.048770809
17.04.2013 00:00,4859818.347,2960607.916,0.609201354,-0.271298788
18.04.2013 00:00,4851607.916,3019609.852,0.622393628,0.120628088
19.04.2013 00:00,4835237.852,3259227.934,0.674057416,0.7080216
22.04.2013 00:00,4848760.934,3314524.678,0.68358179,2.416655019
23.04.2013 00:00,4904057.678,3351605.044,0.683435078,3.659635897
24.04.2013 00:00,4949034.044,3378189.602,0.682595749,4.435123142
25.04.2013 00:00,4975618.602,3426668.443,0.688691943,4.476940595
26.04.2013 00:00,5030802.443,3436889.196,0.683169183,5.134841162
29.04.2013 00:00,5041023.196,3446555.768,0.683701628,5.429556701
30.04.2013 00:00,5050689.768,3434841.714,0.680073786,5.071225779
01.05.2013 00:00,5038975.714,3470702.888,0.688771505,6.16593106
02.05.2013 00:00,5074836.888,3458953.067,0.681589013,7.106016784
03.05.2013 00:00,5063087.067,3467629.337,0.684884398,7.372261051
06.05.2013 00:00,5071763.337,3464756.874,0.683146402,7.28331762
07.05.2013 00:00,5068890.874,3505672.703,0.691605479,7.060049845
08.05.2013 00:00,5057672.703,3502745.723,0.692560774,6.989154835
09.05.2013 00:00,5054745.723,3479818.142,0.688425953,7.690429666
10.05.2013 00:00,5083203.142,3428274.214,0.674431873,7.786614578
13.05.2013 00:00,5086056.214,3449580.131,0.678242628,8.479883513
14.05.2013 00:00,5106913.131,3529741.538,0.691169293,9.466891377
15.05.2013 00:00,5135202.538,3465842.485,0.674918362,9.157258988
16.05.2013 00:00,5125013.485,3462834.087,0.675673166,10.54538245
17.05.2013 00:00,5166307.087,3478218.475,0.673250431,11.03650418
20.05.2013 00:00,5183956.475,3480689.879,0.671435012,11.11539974
21.05.2013 00:00,5186427.879,3470104.836,0.669074152,10.81021094
22.05.2013 00:00,5223269.836,3485297.793,0.667263592,9.657825065
23.05.2013 00:00,5186472.793,3478686.554,0.670722993,9.484579278
24.05.2013 00:00,5175442.554,3482771.061,0.672941691,9.61313084
27.05.2013 00:00,5183776.061,3526044.157,0.680207655,10.97506345
28.05.2013 00:00,5227049.157,3475878.362,0.664979084,9.553187056
29.05.2013 00:00,5176883.362,3474403.631,0.671138094,9.545575809
30.05.2013 00:00,5175531.631,3441027.662,0.66486458,8.550517837
